t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
25.7333,0.9878,11.4446,8.63,18.00,5.51
25.7667,1.3346,16.1734,8.25,23.00,7.18
25.8000,1.5319,19.9000,7.70,26.00,7.92
25.8333,3.4324,42.3607,8.10,27.00,9.72
25.8667,3.3434,35.4229,9.44,24.01,10.34
25.9000,2.5809,24.8193,10.40,16.01,11.41
25.9333,2.3360,21.1607,11.04,13.00,9.73
25.9667,2.9066,24.2648,11.98,12.00,13.93
26.0000,1.9507,15.1792,12.85,12.00,7.07
26.0333,2.9718,21.1157,14.07,12.00,8.12
26.0667,2.3828,15.1980,15.68,14.00,5.75
26.1000,1.0629,6.5712,16.18,18.00,7.25
26.1333,1.0551,6.6357,15.90,21.00,6.45
26.1667,1.0659,6.8084,15.66,21.00,6.58
26.2000,1.0286,6.6337,15.51,21.00,6.41
26.2333,0.9576,6.2128,15.41,20.00,5.55
26.2667,0.8425,5.5094,15.29,19.00,4.68
26.3000,0.8498,5.6047,15.16,19.00,4.72
26.3333,0.7982,5.2966,15.07,17.00,4.28
26.3667,0.7783,5.1858,15.01,17.00,4.06
26.4000,0.7858,5.2641,14.93,17.00,4.65
26.4333,0.6465,4.3526,14.85,15.00,3.38
26.4667,0.8032,5.4130,14.84,16.00,4.77
26.5000,0.7196,4.8433,14.86,16.00,4.24
26.5333,0.7001,4.7036,14.88,15.00,3.70
26.5667,0.6153,4.1383,14.87,13.00,3.50
26.6000,0.5834,3.9328,14.83,12.01,3.23
26.6333,0.4665,3.1508,14.81,11.00,2.23
26.6667,0.4744,3.2157,14.75,10.00,2.27
26.7000,0.3839,2.6086,14.72,8.00,1.94
26.7333,0.3674,2.4985,14.70,7.00,1.95
26.7667,0.3202,2.1811,14.68,6.00,1.49
26.8000,0.3807,2.6037,14.62,6.00,1.77
26.8333,0.2525,1.7310,14.59,4.00,0.94
26.8667,0.2444,1.6761,14.58,4.00,0.92
26.9000,0.2075,1.4243,14.57,3.00,0.70
26.9333,0.2274,1.5640,14.54,4.00,0.63
26.9667,0.2148,1.4795,14.52,4.00,0.66
27.0000,0.2022,1.3926,14.52,3.00,0.63
27.0333,0.2460,1.6965,14.50,4.00,0.80
27.0667,0.2375,1.6418,14.46,4.00,0.75
27.1000,0.2394,1.6582,14.44,4.00,0.95
27.1333,0.2402,1.6658,14.42,5.00,1.02
27.1667,0.2619,1.8207,14.38,5.00,1.03
27.2000,0.2754,1.9207,14.34,5.00,1.13
27.2333,0.3079,2.1543,14.29,7.00,1.56
27.2667,0.3176,2.2302,14.24,6.00,1.61
27.3000,0.3437,2.4242,14.18,7.00,1.89
27.3333,0.3701,2.6249,14.10,8.00,1.93
27.3667,0.3951,2.8214,14.00,9.00,2.09
27.4000,0.4088,2.9368,13.92,9.00,2.30
27.4333,0.4217,3.0460,13.84,10.00,2.35
27.4667,0.4913,3.5793,13.73,12.00,2.20
27.5000,0.5706,4.2023,13.58,14.01,2.63
27.5333,0.6005,4.4797,13.41,15.00,2.63
27.5667,0.6920,5.2394,13.21,18.00,2.95
27.6000,0.8263,6.3676,12.98,19.00,3.15
27.6333,1.0350,8.1486,12.70,22.00,4.19
27.6667,6.4476,42.8404,15.05,39.00,36.54
27.7000,2.6574,15.6356,17.00,47.00,9.12
27.7333,2.2611,14.1521,15.98,47.00,7.62
27.7667,0.8913,5.7798,15.42,21.00,3.43
27.8000,0.7756,5.0847,15.25,16.00,2.50
27.8333,0.5766,3.8126,15.12,13.00,1.88
27.8667,0.6811,4.5576,14.94,9.00,1.66
27.9000,0.3921,2.6486,14.80,8.00,1.52
27.9333,0.4241,2.8724,14.77,8.00,1.36
27.9667,0.3635,2.4730,14.70,7.00,1.37
28.0000,0.4846,3.3274,14.56,6.00,1.22
28.0333,0.5102,3.5544,14.35,5.00,1.33
28.0667,0.8131,5.7471,14.15,6.00,1.50
28.1000,0.2994,2.1335,14.03,6.00,1.24
28.1333,0.3846,2.7559,13.95,6.00,1.26
28.1667,0.2487,1.7919,13.88,4.00,0.95
28.2000,0.2515,1.8146,13.86,4.00,0.93
28.2333,0.2408,1.7404,13.84,4.00,0.95
28.2667,0.3063,2.2230,13.78,4.00,1.00
28.3000,0.2427,1.7671,13.74,4.00,0.92
28.3333,0.3154,2.2996,13.72,4.00,0.90
28.3667,0.3933,2.8925,13.60,5.00,1.02
28.4000,0.8480,6.4224,13.20,7.00,1.90
28.4333,0.2075,1.6062,12.92,4.00,0.72
28.4667,0.1989,1.5376,12.94,4.00,0.74
